sys_energy,sys_energy_ap,avg_acc_err
-1.34553e+08,-1.34553e+08,nan
-1.34553e+08,-1.34553e+08,4.63735e-07
-1.34553e+08,-1.34553e+08,4.59445e-07
-1.34553e+08,-1.34553e+08,4.70929e-07
-1.34553e+08,-1.34553e+08,4.6965e-07
-1.34553e+08,-1.34553e+08,4.63963e-07
-1.34554e+08,-1.34554e+08,4.63193e-07
-1.34554e+08,-1.34554e+08,4.43383e-07
-1.34555e+08,-1.34555e+08,4.50458e-07
-1.34555e+08,-1.34555e+08,4.51851e-07
-1.34556e+08,-1.34556e+08,4.74746e-07
-1.34557e+08,-1.34557e+08,4.7503e-07
-1.34558e+08,-1.34558e+08,4.73331e-07
-1.34559e+08,-1.34559e+08,4.68079e-07
-1.3456e+08,-1.3456e+08,4.71208e-07
-1.34561e+08,-1.34561e+08,4.76941e-07
-1.34562e+08,-1.34562e+08,5.27441e-07
-1.34563e+08,-1.34563e+08,5.38565e-07
-1.34564e+08,-1.34564e+08,5.3929e-07
-1.34566e+08,-1.34566e+08,5.35803e-07
-1.34567e+08,-1.34567e+08,5.3994e-07
-1.34569e+08,-1.34569e+08,5.4178e-07
-1.34571e+08,-1.34571e+08,5.75498e-07
-1.34572e+08,-1.34572e+08,5.73439e-07
-1.34574e+08,-1.34574e+08,5.72215e-07
-1.34576e+08,-1.34576e+08,5.87617e-07
-1.34578e+08,-1.34578e+08,5.85412e-07
-1.3458e+08,-1.3458e+08,5.9718e-07
-1.34583e+08,-1.34583e+08,6.43109e-07
-1.34585e+08,-1.34585e+08,6.69117e-07
-1.34587e+08,-1.34587e+08,6.59732e-07
-1.3459e+08,-1.3459e+08,6.54591e-07
-1.34592e+08,-1.34592e+08,6.57864e-07
-1.34595e+08,-1.34595e+08,6.49413e-07
-1.34598e+08,-1.34598e+08,6.59174e-07
-1.34601e+08,-1.34601e+08,6.54684e-07
-1.34604e+08,-1.34604e+08,6.7669e-07
-1.34607e+08,-1.34607e+08,6.77965e-07
-1.34611e+08,-1.34611e+08,6.8079e-07
-1.34614e+08,-1.34614e+08,6.77969e-07
-1.34618e+08,-1.34618e+08,6.69419e-07
-1.34621e+08,-1.34621e+08,6.6417e-07
-1.34625e+08,-1.34625e+08,6.89529e-07
-1.34629e+08,-1.34629e+08,6.91449e-07
-1.34633e+08,-1.34633e+08,6.8493e-07
-1.34638e+08,-1.34638e+08,7.14187e-07
-1.34642e+08,-1.34642e+08,7.14237e-07
-1.34647e+08,-1.34647e+08,7.23196e-07
-1.34651e+08,-1.34651e+08,6.68645e-07
-1.34656e+08,-1.34656e+08,7.35735e-07
-1.34661e+08,-1.34661e+08,7.55132e-07
-1.34667e+08,-1.34667e+08,7.57166e-07
-1.34672e+08,-1.34672e+08,7.65655e-07
-1.34678e+08,-1.34678e+08,7.15648e-07
-1.34684e+08,-1.34684e+08,7.02472e-07
-1.3469e+08,-1.3469e+08,7.05822e-07
-1.34696e+08,-1.34696e+08,7.80256e-07
-1.34702e+08,-1.34702e+08,7.7962e-07
-1.34709e+08,-1.34709e+08,7.84266e-07
-1.34716e+08,-1.34716e+08,8.19878e-07
-1.34724e+08,-1.34724e+08,8.02623e-07
-1.34731e+08,-1.34731e+08,8.07095e-07
-1.34739e+08,-1.34739e+08,7.81256e-07
-1.34747e+08,-1.34747e+08,7.88343e-07
-1.34756e+08,-1.34756e+08,8.4161e-07
-1.34764e+08,-1.34764e+08,9.30771e-07
-1.34774e+08,-1.34774e+08,9.37951e-07
-1.34783e+08,-1.34783e+08,8.97052e-07
-1.34793e+08,-1.34793e+08,9.16393e-07
-1.34803e+08,-1.34803e+08,9.88637e-07
-1.34814e+08,-1.34814e+08,9.79305e-07
-1.34825e+08,-1.34825e+08,9.84159e-07
-1.34837e+08,-1.34837e+08,1.01604e-06
-1.34849e+08,-1.34849e+08,1.05321e-06
-1.34862e+08,-1.34862e+08,1.06476e-06
-1.34876e+08,-1.34876e+08,1.07118e-06
-1.3489e+08,-1.3489e+08,1.10749e-06
-1.34905e+08,-1.34905e+08,1.12873e-06
-1.3492e+08,-1.3492e+08,1.15995e-06
-1.34937e+08,-1.34937e+08,1.20123e-06
-1.34955e+08,-1.34955e+08,1.22179e-06
-1.34973e+08,-1.34973e+08,1.19221e-06
-1.34993e+08,-1.34993e+08,1.28031e-06
-1.35015e+08,-1.35015e+08,1.3465e-06
-1.35038e+08,-1.35038e+08,1.32493e-06
-1.35063e+08,-1.35063e+08,1.34097e-06
-1.35091e+08,-1.35091e+08,1.37772e-06
-1.35122e+08,-1.35122e+08,1.42864e-06
-1.35159e+08,-1.35159e+08,1.42194e-06
-1.35228e+08,-1.35228e+08,1.50252e-06
-1.35239e+08,-1.35239e+08,1.50183e-06
-1.35274e+08,-1.35274e+08,1.53305e-06
-1.35315e+08,-1.35315e+08,1.5193e-06
-1.35361e+08,-1.35361e+08,1.58378e-06
-1.35431e+08,-1.35431e+08,1.60253e-06
-1.35463e+08,-1.35463e+08,1.61183e-06
-1.35479e+08,-1.35479e+08,1.60454e-06
-1.35506e+08,-1.35506e+08,1.64367e-06
-1.35541e+08,-1.35541e+08,1.53392e-06
-1.3558e+08,-1.3558e+08,1.61852e-06
-1.35625e+08,-1.35625e+08,1.58574e-06
-1.35679e+08,-1.35679e+08,1.54065e-06
-1.35743e+08,-1.35743e+08,1.51854e-06
-1.35796e+08,-1.35796e+08,1.59646e-06
-1.3585e+08,-1.3585e+08,1.56755e-06
-1.35917e+08,-1.35917e+08,1.58772e-06
-1.35988e+08,-1.35988e+08,1.56385e-06
-1.36041e+08,-1.36041e+08,1.56007e-06
-1.36088e+08,-1.36088e+08,1.57033e-06
-1.36146e+08,-1.36146e+08,1.55717e-06
-1.36168e+08,-1.36168e+08,1.53913e-06
-1.36213e+08,-1.36213e+08,1.53375e-06
-1.36261e+08,-1.36261e+08,1.50093e-06
-1.36319e+08,-1.36319e+08,1.52047e-06
-1.36377e+08,-1.36377e+08,1.49378e-06
-1.36432e+08,-1.36432e+08,1.49509e-06
-1.36494e+08,-1.36494e+08,1.45473e-06
-1.36511e+08,-1.36511e+08,1.41513e-06
-1.36557e+08,-1.36557e+08,1.43572e-06
-1.36607e+08,-1.36607e+08,1.38272e-06
-1.3666e+08,-1.36661e+08,1.3751e-06
-1.36712e+08,-1.36712e+08,1.37574e-06
-1.36762e+08,-1.36762e+08,1.34341e-06
-1.36813e+08,-1.36813e+08,1.32451e-06
-1.36871e+08,-1.36871e+08,1.32992e-06
-1.36929e+08,-1.36929e+08,1.2749e-06
-1.36991e+08,-1.36991e+08,1.27155e-06
-1.37037e+08,-1.37037e+08,1.24655e-06
-1.37072e+08,-1.37072e+08,1.21096e-06
-1.37122e+08,-1.37122e+08,1.20237e-06
-1.37165e+08,-1.37165e+08,1.19314e-06
-1.37216e+08,-1.37216e+08,1.16913e-06
-1.37271e+08,-1.37271e+08,1.17766e-06
-1.37324e+08,-1.37324e+08,1.11461e-06
-1.3738e+08,-1.3738e+08,1.13019e-06
-1.37438e+08,-1.37438e+08,1.08743e-06
-1.37501e+08,-1.37501e+08,1.07399e-06
-1.37562e+08,-1.37562e+08,1.08201e-06
-1.37634e+08,-1.37634e+08,1.08368e-06
-1.37703e+08,-1.37703e+08,1.09473e-06
-1.37789e+08,-1.37789e+08,1.06642e-06
-1.37858e+08,-1.37858e+08,1.04888e-06
-1.37933e+08,-1.37933e+08,1.04386e-06
-1.37993e+08,-1.37993e+08,1.03963e-06
-1.38053e+08,-1.38053e+08,1.04628e-06
-1.38126e+08,-1.38126e+08,1.07926e-06
-1.38214e+08,-1.38214e+08,1.07811e-06
-1.38309e+08,-1.38309e+08,1.07568e-06
-1.384e+08,-1.384e+08,1.10772e-06
-1.38497e+08,-1.38497e+08,1.12617e-06
-1.38586e+08,-1.38586e+08,1.09703e-06
-1.38687e+08,-1.38687e+08,1.17973e-06
-1.38799e+08,-1.38799e+08,1.26046e-06
-1.38914e+08,-1.38914e+08,1.35132e-06
-1.39045e+08,-1.39045e+08,1.42948e-06
-1.39171e+08,-1.39171e+08,1.44584e-06
-1.39308e+08,-1.39308e+08,1.46265e-06
-1.39451e+08,-1.39451e+08,1.53479e-06
-1.39606e+08,-1.39606e+08,1.57495e-06
-1.39784e+08,-1.39784e+08,1.56701e-06
-1.39947e+08,-1.39947e+08,1.65496e-06
-1.40129e+08,-1.40129e+08,1.70279e-06
-1.40322e+08,-1.40322e+08,1.71927e-06
-1.40555e+08,-1.40555e+08,1.77033e-06
-1.40787e+08,-1.40787e+08,1.79268e-06
-1.41025e+08,-1.41025e+08,1.80884e-06
-1.41277e+08,-1.41277e+08,1.86028e-06
-1.41539e+08,-1.41539e+08,1.9132e-06
-1.4181e+08,-1.4181e+08,1.91454e-06
-1.4211e+08,-1.4211e+08,1.96779e-06
-1.4243e+08,-1.4243e+08,1.9501e-06
-1.42783e+08,-1.42783e+08,1.925e-06
-1.43158e+08,-1.43158e+08,1.9025e-06
-1.43594e+08,-1.43594e+08,1.86981e-06
-1.44015e+08,-1.44015e+08,1.8855e-06
-1.44505e+08,-1.44505e+08,1.92647e-06
-1.45033e+08,-1.45033e+08,1.91565e-06
-1.45634e+08,-1.45634e+08,1.91246e-06
-1.46283e+08,-1.46283e+08,1.9035e-06
-1.46981e+08,-1.46981e+08,1.9211e-06
-1.47787e+08,-1.47787e+08,1.99499e-06
-1.48668e+08,-1.48668e+08,2.14308e-06
-1.49701e+08,-1.49701e+08,2.00954e-06
-1.50868e+08,-1.50868e+08,2.0383e-06
-1.52177e+08,-1.52177e+08,2.05519e-06
-1.53708e+08,-1.53708e+08,2.13345e-06
-1.55433e+08,-1.55433e+08,2.15457e-06
-1.57438e+08,-1.57438e+08,2.21738e-06
-1.59695e+08,-1.59695e+08,2.30709e-06
-1.62317e+08,-1.62317e+08,2.27822e-06
-1.65327e+08,-1.65327e+08,2.30215e-06
-1.68714e+08,-1.68714e+08,2.32105e-06
-1.72648e+08,-1.72648e+08,2.30126e-06
-1.77414e+08,-1.77414e+08,2.31097e-06
-1.83402e+08,-1.83402e+08,2.32338e-06
