sys_energy,sys_energy_ap,avg_acc_err
-3.57769e+09,-3.57769e+09,nan
-3.57651e+09,-3.57652e+09,0.00464409
-3.59727e+09,-3.59724e+09,0.00470899
-3.64082e+09,-3.6407e+09,0.00464262
-3.71174e+09,-3.71147e+09,0.00485284
-3.81837e+09,-3.81778e+09,0.00490534
-3.97533e+09,-3.97414e+09,0.00533269
-4.20926e+09,-4.20697e+09,0.00516718
-4.57277e+09,-4.56807e+09,0.00597838
-5.18552e+09,-5.17556e+09,0.00640314
-6.40137e+09,-6.37671e+09,0.00781816
-1.02029e+10,-1.0099e+10,0.0119935
-2.92765e+10,-2.97882e+10,0.0436601
-1.74308e+10,-1.75452e+10,0.0436474
-1.39595e+10,-1.40482e+10,0.0376253
-1.20476e+10,-1.21139e+10,0.0320947
-1.08068e+10,-1.08515e+10,0.0281815
-9.98433e+09,-1.00274e+10,0.0286999
-9.33098e+09,-9.36883e+09,0.029052
-8.87886e+09,-8.90753e+09,0.0264325
-8.51411e+09,-8.53316e+09,0.023926
-8.34584e+09,-8.36346e+09,0.0227362
-8.26033e+09,-8.26986e+09,0.0243397
-8.32039e+09,-8.31471e+09,0.0208029
-8.75689e+09,-8.72344e+09,0.021476
-1.01677e+10,-1.004e+10,0.0246523
-3.36504e+10,-4.76054e+10,0.0625598
-1.50281e+10,-1.53519e+10,0.0512439
-1.12857e+10,-1.13771e+10,0.0455091
-9.41671e+09,-9.49096e+09,0.0428791
-8.28682e+09,-8.35096e+09,0.0425861
-7.46804e+09,-7.52474e+09,0.0399008
-6.91166e+09,-6.94469e+09,0.0362276
-6.44689e+09,-6.48464e+09,0.033054
-6.12968e+09,-6.1578e+09,0.0316227
-5.88869e+09,-5.90533e+09,0.0290282
-5.74069e+09,-5.75219e+09,0.0279581
-5.65785e+09,-5.66655e+09,0.0273743
-5.66608e+09,-5.66918e+09,0.0274918
-5.7736e+09,-5.7596e+09,0.0266107
-6.03624e+09,-6.02664e+09,0.0299014
-6.57136e+09,-6.51338e+09,0.0303891
-8.0681e+09,-7.89444e+09,0.0350938
-2.13174e+10,-2.62772e+10,0.0656283
-1.27108e+10,-1.30583e+10,0.0686704
-1.04835e+10,-1.06195e+10,0.0602049
-9.2234e+09,-9.30475e+09,0.0582368
-8.48369e+09,-8.53173e+09,0.058784
-7.85154e+09,-7.90956e+09,0.0572932
-7.44639e+09,-7.49065e+09,0.0586946
-7.06825e+09,-7.11003e+09,0.0571371
-6.77892e+09,-6.81586e+09,0.0523439
-6.57149e+09,-6.60021e+09,0.0506856
-6.44321e+09,-6.46834e+09,0.0494299
-6.34058e+09,-6.35218e+09,0.0449433
-6.34233e+09,-6.35184e+09,0.0456083
-6.4622e+09,-6.44756e+09,0.0440857
-6.82181e+09,-6.76359e+09,0.0455833
-7.67972e+09,-7.55659e+09,0.0516604
-1.22178e+10,-1.14712e+10,0.0690411
-1.35452e+10,-1.42912e+10,0.104827
-1.08762e+10,-1.11366e+10,0.0905536
-9.66679e+09,-9.80367e+09,0.0817827
-8.81028e+09,-8.88564e+09,0.0756826
-8.27068e+09,-8.31791e+09,0.0753385
-7.80686e+09,-7.85867e+09,0.0735504
-7.40414e+09,-7.44733e+09,0.0713279
-7.1431e+09,-7.16671e+09,0.0693211
-6.90964e+09,-6.93485e+09,0.0666295
-6.74687e+09,-6.77463e+09,0.0660202
-6.64749e+09,-6.66265e+09,0.0634363
-6.60769e+09,-6.60885e+09,0.0603751
-6.72473e+09,-6.70641e+09,0.0619153
-6.99042e+09,-6.94487e+09,0.0657028
-7.52727e+09,-7.4186e+09,0.0653549
-9.82096e+09,-9.28131e+09,0.0782996
-1.37889e+10,-1.50214e+10,0.132643
-1.08002e+10,-1.1208e+10,0.11731
-9.58926e+09,-9.7924e+09,0.0998942
-8.84216e+09,-8.99526e+09,0.0941187
-8.22499e+09,-8.31472e+09,0.0853693
-7.81716e+09,-7.90378e+09,0.0836668
-7.47558e+09,-7.52403e+09,0.0799104
-7.2263e+09,-7.2544e+09,0.078192
-7.04519e+09,-7.07028e+09,0.0776351
-6.91607e+09,-6.92642e+09,0.0742629
-6.83813e+09,-6.86121e+09,0.0775672
-6.80844e+09,-6.80656e+09,0.0732203
-6.8897e+09,-6.87765e+09,0.0750544
-7.04361e+09,-7.01634e+09,0.0749234
-7.47719e+09,-7.386e+09,0.0750711
-8.89875e+09,-8.54933e+09,0.0840347
-1.42284e+10,-1.64402e+10,0.124367
-1.10906e+10,-1.14919e+10,0.129642
-9.70653e+09,-9.94746e+09,0.119279
-9.02993e+09,-9.19475e+09,0.109158
-8.49652e+09,-8.60775e+09,0.101632
-7.99386e+09,-8.0945e+09,0.0957103
-7.64395e+09,-7.70292e+09,0.0918911
-7.37204e+09,-7.41911e+09,0.0882534
-7.16703e+09,-7.20333e+09,0.0860887
-7.0078e+09,-7.02036e+09,0.0825892
-6.93464e+09,-6.94157e+09,0.0857135
-6.87242e+09,-6.86357e+09,0.0805784
-6.91064e+09,-6.88111e+09,0.0815657
-7.03245e+09,-7.0005e+09,0.0841442
-7.43581e+09,-7.32816e+09,0.0870561
-8.47343e+09,-8.17345e+09,0.0948855
-1.31662e+10,-1.59113e+10,0.123173
-1.08526e+10,-1.13144e+10,0.139457
-9.60037e+09,-9.84485e+09,0.126652
-8.91757e+09,-9.13578e+09,0.121257
-8.44947e+09,-8.57913e+09,0.11391
-8.08054e+09,-8.18652e+09,0.109271
-7.69752e+09,-7.78878e+09,0.101911
-7.42232e+09,-7.48124e+09,0.0981257
-7.24267e+09,-7.27681e+09,0.0963067
-7.10769e+09,-7.14473e+09,0.0933964
-7.02693e+09,-7.05273e+09,0.0937575
-6.97309e+09,-6.97624e+09,0.0896166
-7.03127e+09,-7.00147e+09,0.0911397
-7.19534e+09,-7.13599e+09,0.0950764
-7.47637e+09,-7.38841e+09,0.0971189
-8.29505e+09,-8.06707e+09,0.106392
-1.19286e+10,-1.22169e+10,0.128893
-1.06427e+10,-1.11325e+10,0.143934
-9.40784e+09,-9.69232e+09,0.134064
-8.66082e+09,-8.87182e+09,0.123058
-8.22606e+09,-8.36516e+09,0.115457
-7.86531e+09,-7.96917e+09,0.11078
-7.56941e+09,-7.65827e+09,0.107519
-7.29528e+09,-7.36231e+09,0.0996791
-7.10776e+09,-7.15118e+09,0.0975461
-6.94909e+09,-6.98762e+09,0.0965518
-6.82967e+09,-6.85931e+09,0.0929483
-6.7792e+09,-6.7775e+09,0.0915199
-6.74718e+09,-6.75692e+09,0.0922312
-6.81404e+09,-6.78023e+09,0.0904745
-7.03624e+09,-6.95226e+09,0.0945591
-7.59982e+09,-7.38195e+09,0.0997614
-9.8203e+09,-9.4059e+09,0.121903
-1.0361e+10,-1.09327e+10,0.152417
-9.1579e+09,-9.4724e+09,0.142454
-8.47737e+09,-8.7196e+09,0.132157
-8.03323e+09,-8.18349e+09,0.121697
-7.74841e+09,-7.87699e+09,0.118887
-7.46561e+09,-7.56767e+09,0.111943
-7.23819e+09,-7.3114e+09,0.106451
-7.02837e+09,-7.10469e+09,0.104584
-6.88732e+09,-6.92446e+09,0.0996114
-6.8003e+09,-6.82689e+09,0.0995075
-6.75091e+09,-6.75116e+09,0.0970518
-6.7633e+09,-6.75626e+09,0.0981067
-6.80931e+09,-6.7821e+09,0.096902
-6.94526e+09,-6.88526e+09,0.099616
-7.32904e+09,-7.16483e+09,0.103404
-8.53996e+09,-8.15942e+09,0.121273
-1.00199e+10,-1.03095e+10,0.142556
-9.17539e+09,-9.44913e+09,0.141872
-8.52999e+09,-8.74262e+09,0.136708
-8.06843e+09,-8.27205e+09,0.131062
-7.74287e+09,-7.87673e+09,0.121732
-7.48088e+09,-7.58694e+09,0.115995
-7.27626e+09,-7.36194e+09,0.113215
-7.11216e+09,-7.17483e+09,0.109653
-6.94763e+09,-7.00082e+09,0.104797
-6.8268e+09,-6.85449e+09,0.10171
-6.74317e+09,-6.77022e+09,0.102604
-6.69717e+09,-6.70519e+09,0.100539
-6.73476e+09,-6.70758e+09,0.101047
-6.86478e+09,-6.81147e+09,0.106169
-7.11974e+09,-7.00513e+09,0.109396
-7.86298e+09,-7.59616e+09,0.120804
-8.95644e+09,-8.72554e+09,0.139852
-8.90617e+09,-9.17852e+09,0.146262
-8.28308e+09,-8.48806e+09,0.138972
-7.8965e+09,-8.0546e+09,0.133277
-7.61661e+09,-7.74313e+09,0.12717
-7.42228e+09,-7.51499e+09,0.123785
-7.25256e+09,-7.34233e+09,0.120624
-7.07502e+09,-7.16515e+09,0.117107
-6.94735e+09,-7.01026e+09,0.112421
-6.83254e+09,-6.88828e+09,0.108082
-6.7559e+09,-6.78605e+09,0.105598
-6.72484e+09,-6.73574e+09,0.10596
-6.74139e+09,-6.73034e+09,0.107178
-6.81735e+09,-6.78059e+09,0.109078
-7.0063e+09,-6.92143e+09,0.11239
-7.52798e+09,-7.31887e+09,0.121042
-8.21741e+09,-7.92611e+09,0.13607
-8.47501e+09,-8.56287e+09,0.147656
-8.1582e+09,-8.3276e+09,0.144446
-7.78691e+09,-7.9403e+09,0.138649
-7.50004e+09,-7.64435e+09,0.13315
-7.2768e+09,-7.38273e+09,0.125962
-7.11068e+09,-7.18841e+09,0.121609
-6.98422e+09,-7.04855e+09,0.11867
-6.86871e+09,-6.92477e+09,0.116234
-6.78257e+09,-6.81745e+09,0.113994
-6.71153e+09,-6.7454e+09,0.114595
-6.65365e+09,-6.67117e+09,0.11221
-6.63619e+09,-6.63628e+09,0.113351
-6.69034e+09,-6.65895e+09,0.115436
-6.83125e+09,-6.77032e+09,0.120696
-7.1608e+09,-7.0405e+09,0.12721
-7.51987e+09,-7.31405e+09,0.13717
-7.70478e+09,-7.71801e+09,0.148505
-7.70844e+09,-7.8244e+09,0.14638
-7.45568e+09,-7.58792e+09,0.142321
-7.22784e+09,-7.348e+09,0.137882
-7.05014e+09,-7.15919e+09,0.133001
-6.90259e+09,-6.9946e+09,0.128652
-6.78448e+09,-6.85995e+09,0.12518
-6.69246e+09,-6.75718e+09,0.1224
-6.60378e+09,-6.66156e+09,0.11911
-6.52728e+09,-6.57785e+09,0.117025
-6.47543e+09,-6.50904e+09,0.115462
-6.47512e+09,-6.47765e+09,0.115592
-6.51776e+09,-6.50586e+09,0.119025
-6.62981e+09,-6.58631e+09,0.12285
-6.85296e+09,-6.75909e+09,0.128152
-7.05418e+09,-6.9117e+09,0.135405
-7.1752e+09,-7.10395e+09,0.141916
-7.21086e+09,-7.25704e+09,0.145488
-7.16615e+09,-7.26279e+09,0.143424
-6.9972e+09,-7.10994e+09,0.142133
-6.83708e+09,-6.94118e+09,0.138146
-6.70771e+09,-6.79752e+09,0.135205
-6.59534e+09,-6.67131e+09,0.13215
-6.50954e+09,-6.56729e+09,0.129889
-6.44214e+09,-6.49155e+09,0.12887
-6.38986e+09,-6.42777e+09,0.12661
-6.3483e+09,-6.38163e+09,0.126373
-6.32686e+09,-6.34643e+09,0.12736
-6.35013e+09,-6.34427e+09,0.127616
-6.43295e+09,-6.40123e+09,0.131528
-6.54504e+09,-6.49033e+09,0.137206
-6.63005e+09,-6.54461e+09,0.141312
-6.70674e+09,-6.62681e+09,0.145668
-6.73556e+09,-6.75262e+09,0.150643
-6.71746e+09,-6.77671e+09,0.151264
-6.69755e+09,-6.778e+09,0.149999
-6.62465e+09,-6.72043e+09,0.147462
-6.52025e+09,-6.62075e+09,0.14528
-6.42378e+09,-6.50963e+09,0.141625
-6.34734e+09,-6.42388e+09,0.139571
-6.29129e+09,-6.35074e+09,0.137651
-6.2526e+09,-6.30652e+09,0.136891
-6.22237e+09,-6.268e+09,0.136543
-6.22283e+09,-6.24583e+09,0.136818
-6.25363e+09,-6.26117e+09,0.139092
-6.31852e+09,-6.31146e+09,0.141914
-6.37223e+09,-6.35016e+09,0.146125
-6.4107e+09,-6.36404e+09,0.149172
-6.44933e+09,-6.39437e+09,0.152236
-6.47227e+09,-6.45926e+09,0.155321
-6.46362e+09,-6.511e+09,0.158454
-6.43733e+09,-6.50251e+09,0.15805
-6.41449e+09,-6.48883e+09,0.156981
-6.40372e+09,-6.4879e+09,0.155253
-6.36304e+09,-6.43328e+09,0.153422
