sys_energy,sys_energy_ap,avg_acc_err
-2.018e+08,-2.018e+08,nan
-2.01797e+08,-2.01797e+08,0.00265452
-2.01797e+08,-2.01797e+08,0.00266046
-2.01797e+08,-2.01797e+08,0.00264087
-2.01797e+08,-2.01797e+08,0.00261085
-2.01797e+08,-2.01797e+08,0.00259055
-2.01797e+08,-2.01797e+08,0.00262577
-2.01796e+08,-2.01797e+08,0.00263684
-2.01796e+08,-2.01798e+08,0.0026218
-2.01796e+08,-2.01798e+08,0.0026261
-2.01795e+08,-2.01798e+08,0.00261401
-2.01795e+08,-2.01798e+08,0.00263957
-2.01794e+08,-2.01797e+08,0.00264476
-2.01794e+08,-2.01797e+08,0.00263055
-2.01793e+08,-2.01797e+08,0.00262513
-2.01793e+08,-2.01797e+08,0.00261151
-2.01792e+08,-2.01797e+08,0.0026427
-2.01791e+08,-2.01798e+08,0.0026186
-2.01791e+08,-2.01798e+08,0.00264796
-2.0179e+08,-2.01798e+08,0.00269856
-2.01789e+08,-2.01797e+08,0.00264648
-2.01788e+08,-2.01797e+08,0.00267705
-2.01787e+08,-2.01797e+08,0.00271356
-2.01786e+08,-2.01797e+08,0.00273602
-2.01785e+08,-2.01797e+08,0.00277699
-2.01784e+08,-2.01797e+08,0.00278166
-2.01782e+08,-2.01797e+08,0.00284163
-2.01781e+08,-2.01797e+08,0.00286881
-2.01779e+08,-2.01797e+08,0.00281787
-2.01778e+08,-2.01797e+08,0.00277166
-2.01777e+08,-2.01797e+08,0.00280501
-2.01775e+08,-2.01797e+08,0.00286007
-2.01774e+08,-2.01797e+08,0.00291738
-2.01773e+08,-2.01798e+08,0.00292328
-2.01771e+08,-2.01797e+08,0.00295918
-2.01769e+08,-2.01797e+08,0.00296786
-2.01767e+08,-2.01797e+08,0.00298297
-2.01766e+08,-2.01797e+08,0.00299184
-2.01764e+08,-2.01797e+08,0.00303686
-2.01762e+08,-2.01797e+08,0.00308169
-2.0176e+08,-2.01797e+08,0.00311426
-2.01758e+08,-2.01797e+08,0.00314485
-2.01756e+08,-2.01797e+08,0.00307334
-2.01755e+08,-2.01797e+08,0.00320278
-2.01752e+08,-2.01797e+08,0.00323047
-2.0175e+08,-2.01797e+08,0.00340212
-2.01748e+08,-2.01796e+08,0.00321039
-2.01746e+08,-2.01797e+08,0.00333016
-2.01744e+08,-2.01796e+08,0.00346278
-2.01742e+08,-2.01797e+08,0.00354464
-2.01741e+08,-2.01797e+08,0.00357971
-2.01738e+08,-2.01796e+08,0.00372961
-2.01735e+08,-2.01796e+08,0.00377715
-2.01733e+08,-2.01795e+08,0.00388109
-2.01731e+08,-2.01796e+08,0.00400201
-2.01727e+08,-2.01795e+08,0.00422284
-2.01725e+08,-2.01795e+08,0.00447866
-2.01722e+08,-2.01795e+08,0.0046668
-2.01719e+08,-2.01795e+08,0.0048071
-2.01717e+08,-2.01795e+08,0.00492994
-2.01713e+08,-2.01794e+08,0.00514925
-2.01709e+08,-2.01794e+08,0.00522233
-2.01706e+08,-2.01793e+08,0.00552954
-2.01702e+08,-2.01793e+08,0.00565936
-2.01698e+08,-2.01793e+08,0.00606713
-2.01694e+08,-2.01793e+08,0.00636987
-2.01689e+08,-2.01792e+08,0.00653321
-2.01684e+08,-2.01791e+08,0.00666165
-2.01678e+08,-2.01791e+08,0.00685046
-2.01673e+08,-2.0179e+08,0.00697611
-2.01668e+08,-2.0179e+08,0.0075287
-2.01661e+08,-2.0179e+08,0.00814974
-2.01654e+08,-2.01788e+08,0.00807969
-2.01648e+08,-2.01787e+08,0.00860434
-2.01641e+08,-2.01787e+08,0.00905729
-2.01634e+08,-2.01786e+08,0.00948095
-2.01626e+08,-2.01784e+08,0.0097124
-2.01617e+08,-2.01783e+08,0.0102316
-2.01607e+08,-2.01781e+08,0.0109505
-2.01596e+08,-2.0178e+08,0.0111559
-2.01586e+08,-2.01779e+08,0.0117964
-2.01572e+08,-2.01777e+08,0.0124303
-2.01557e+08,-2.01774e+08,0.0128355
-2.01541e+08,-2.01771e+08,0.0134126
-2.01523e+08,-2.01768e+08,0.0141512
-2.01504e+08,-2.01763e+08,0.0146891
-2.01484e+08,-2.0176e+08,0.0151917
-2.01461e+08,-2.01754e+08,0.0155706
-2.01436e+08,-2.01747e+08,0.0160243
-2.01412e+08,-2.01742e+08,0.0169545
-2.01383e+08,-2.01733e+08,0.0176668
-2.01351e+08,-2.01721e+08,0.0184707
-2.01319e+08,-2.0171e+08,0.0192051
-2.01278e+08,-2.01691e+08,0.0195623
-2.01239e+08,-2.01673e+08,0.0206154
-2.01191e+08,-2.01648e+08,0.0213205
-2.01138e+08,-2.01617e+08,0.0230601
