sys_energy,sys_energy_ap,avg_acc_err
-85.1157,-85.1157,nan
-82.375,-82.375,0.00219722
-82.1916,-82.1916,0.00215888
-82.1179,-82.1184,0.00246569
-82.0849,-82.085,0.0026075
-82.0689,-82.0681,0.00288776
-82.0594,-82.0583,0.00328224
-82.0535,-82.0532,0.003588
-82.0508,-82.0507,0.00395258
-82.051,-82.0511,0.00440065
-82.059,-82.059,0.00488754
-82.0868,-82.0876,0.00544017
-82.188,-82.1864,0.00613461
-82.4906,-82.4835,0.00719235
-82.9239,-82.9196,0.00805011
-82.9981,-83.002,0.0086807
-82.8284,-82.834,0.00916007
-82.6498,-82.6526,0.00934998
-82.5125,-82.5102,0.00973023
-82.4106,-82.4028,0.0101948
-82.3343,-82.3224,0.0108353
-82.2781,-82.2625,0.0116293
-82.2365,-82.217,0.0125048
-82.2062,-82.1841,0.0134547
-82.1858,-82.1605,0.0145519
-82.1811,-82.154,0.0157457
-82.2192,-82.1895,0.017022
-82.3588,-82.3239,0.0183915
-82.5554,-82.5207,0.0196817
-82.6212,-82.5912,0.0208725
-82.5907,-82.5616,0.021812
-82.5428,-82.5139,0.0225679
-82.4927,-82.4641,0.0230673
-82.4447,-82.4163,0.0233825
-82.4039,-82.3758,0.0235571
-82.3713,-82.3417,0.0237025
-82.3432,-82.3118,0.0238812
-82.3181,-82.2856,0.0241797
-82.2984,-82.2651,0.0246334
-82.2921,-82.2572,0.0252863
-82.3245,-82.2877,0.0261442
-82.4276,-82.389,0.0271787
-82.5309,-82.4938,0.0282548
-82.5507,-82.5136,0.0292589
-82.5244,-82.4868,0.0301043
-82.4917,-82.4532,0.0308669
-82.4649,-82.4263,0.0316207
-82.4402,-82.4005,0.0322818
-82.4133,-82.3743,0.033034
-82.3864,-82.3472,0.033503
-82.3621,-82.3225,0.0340052
-82.3428,-82.3028,0.0346964
-82.3312,-82.2912,0.0359819
-82.333,-82.292,0.0365877
-82.372,-82.3296,0.0375091
-82.4537,-82.4121,0.0387096
-82.5101,-82.4696,0.0399553
-82.5127,-82.4713,0.0410368
-82.4916,-82.4503,0.0419606
-82.4646,-82.4239,0.042731
-82.4406,-82.3986,0.0434175
-82.4239,-82.3818,0.0440573
-82.4103,-82.3686,0.044679
-82.3954,-82.3541,0.0453071
-82.3799,-82.3389,0.0459579
-82.3662,-82.3254,0.0467504
-82.3575,-82.3161,0.0477077
-82.3653,-82.3223,0.0488905
-82.4095,-82.3655,0.0502293
-82.4708,-82.4277,0.0515894
-82.4969,-82.4538,0.0529096
-82.491,-82.446,0.054029
-82.476,-82.429,0.0549326
-82.4564,-82.4101,0.0557134
-82.4375,-82.3906,0.0564397
-82.4214,-82.372,0.0571308
-82.4088,-82.3582,0.0578257
-82.4011,-82.3493,0.0585759
-82.393,-82.34,0.0593566
-82.3848,-82.3307,0.0602614
-82.3832,-82.3295,0.0612957
-82.4035,-82.3488,0.0624802
-82.4498,-82.3947,0.0638055
-82.4858,-82.4322,0.0650751
-82.4879,-82.436,0.0662738
-82.4778,-82.4236,0.0673189
-82.4663,-82.4107,0.0680851
-82.4547,-82.3996,0.0688659
-82.4389,-82.3855,0.0695388
-82.4243,-82.3713,0.0702007
-82.4117,-82.3568,0.0708928
-82.4006,-82.3468,0.0716976
-82.395,-82.3426,0.0726281
-82.3961,-82.3426,0.073748
-82.406,-82.3495,0.0750178
-82.4337,-82.3765,0.07636
-82.4697,-82.4145,0.0776722
-82.4855,-82.4323,0.0788852
-82.4818,-82.4276,0.0799619
-82.4712,-82.4143,0.0809103
-82.4577,-82.3987,0.0817375
-82.4453,-82.3856,0.0825281
-82.4313,-82.3731,0.0832204
-82.42,-82.3623,0.0839534
-82.4117,-82.354,0.0847143
-82.4046,-82.3445,0.0855868
-82.3997,-82.3384,0.0865976
-82.4031,-82.3414,0.0877887
-82.4239,-82.3606,0.0891349
-82.4572,-82.3935,0.0905828
-82.4843,-82.4205,0.0919433
-82.4895,-82.4263,0.0931422
-82.4816,-82.4192,0.0941311
-82.472,-82.4079,0.0949851
-82.464,-82.3964,0.0957712
-82.4581,-82.3886,0.0964527
